capture_artist_project_title,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12
SPARKS - HIPPOPOTAMUS,157,60,30,32,29,33,19,10,15,8,9,5
VARIOUS ARTISTS - THIS IS TROJAN BOSS REGGAE,22,13,2,6,6,3,5,6,10,7,4,2
"EMERSON, LAKE & PALMER - WORKS VOLUME 1",182,22,7,12,13,10,7,8,4,6,5,5
CANE HILL - TOO FAR GONE,515,101,59,46,43,43,29,25,31,28,30,104
TEXAS - JUMP ON BOARD,2900,901,422,294,192,145,114,136,90,83,119,74
MARC ALMOND - SHADOWS AND REFLECTIONS,436,146,56,63,42,38,19,14,4,4,13,15
"EMERSON, LAKE & PALMER - TRILOGY",32,16,19,27,20,24,20,22,21,85,131,46
JOHN FOGERTY - PREMONITION,1,4,3,2,6,6,5,11,10,12,8,18
INDIA.ARIE - SONGVERSATION: MEDICINE,906,306,230,182,123,122,135,155,100,117,109,90
TALOS - WILD ALEE,2,1,5,5,3,4,1,5,8,3,8,3
RIFF RAFF - PEACH PANTHER,101,78,85,71,53,64,46,40,40,32,31,29
CHASE RICE - LAMBS & LIONS,4440,700,471,302,278,717,528,226,201,190,158,141
HOT WATER MUSIC - LIGHT IT UP,1182,214,130,100,94,57,53,31,40,25,24,34
GOLD - CALICOBA,6,5,4,5,2,5,4,5,4,1,1,4
KATHARINE MCPHEE - I FALL IN LOVE TOO EASILY,983,488,196,132,97,63,96,43,95,60,29,29
CANE HILL - SMILE,464,118,95,40,38,44,31,41,29,21,19,22
"VARIOUS ARTISTS - THE DR. PACKER SALSOUL REWORKS, VOL. 1",80,156,34,30,23,25,14,20,18,11,10,10
MAX GIESINGER - DIE REISE,3214,689,465,350,397,221,252,188,186,141,124,128
PETULA CLARK - FROM NOW ON,191,58,66,48,21,20,46,14,10,16,1,4
LAMBERT & DEKKER - WE SHARE PHENOMENA,35,13,4,9,3,5,7,2,3,5,3,3
TYLER CARTER - LEAVE YOUR LOVE,7,8,6,4,2,6,12,9,3,2,5,3
CHARLIE WINSTON - SQUARE 1,163,43,20,12,19,11,6,11,6,4,12,45
SEVEN - 4COLORS,151,39,20,29,19,19,10,11,12,25,6,9
CABBAGE - NIHILISTIC GLAMOUR SHOTS,247,31,46,9,13,13,6,3,2,7,3,2
RICHARD CLAYDERMAN - AT HOME WITH RICHARD CLAYDERMAN,3,5,1,1,14,5,4,2,2,5,3,3
RUNAWAY JUNE - RUNAWAY JUNE  - EP,64,16,24,17,12,10,8,10,14,8,6,2
VARIOUS ARTISTS - A TRIBUTE TO DAN FOGELBERG,1781,214,121,65,155,97,90,47,35,32,42,28
MAKE THEM SUFFER - OLD SOULS & LORD OF WOE,201,36,29,33,36,25,19,18,17,15,13,19
PALISADES - MIND GAMES,15,15,8,15,9,14,18,13,10,13,15,11
DALEY - THE SPECTRUM,855,232,181,109,123,107,65,59,48,54,40,56
CRAIG CAMPBELL - SEE YOU TRY,234,56,50,45,37,35,32,31,21,36,29,27
JOHN FOGERTY - BLUE MOON SWAMP,27,13,18,14,27,46,29,24,23,17,23,25
VARIOUS ARTISTS - KING OF THE ROAD: A TRIBUTE TO ROGER MILLER,1018,309,163,66,54,35,30,15,13,10,16,13
VARIOUS ARTISTS - THIS IS TROJAN ROOTS,9,2,3,2,2,2,6,1,1,1,2,2
VARIOUS ARTISTS - TRIBUTE TO STEVE GOODMAN,2,2,2,2,2,1,1,2,12,3,2,3
DANIEL LIONEYE - VOL. III,53,20,6,7,8,3,4,4,1,2,5,3
DAVE CLARKE - THE DESECRATION OF DESIRE,154,29,14,13,7,7,7,8,7,3,6,1
SILVERSTEIN - DEAD REFLECTION,1732,360,260,132,115,118,91,81,62,60,56,57
URIAH HEEP - THE MAGICIAN'S BIRTHDAY,99,28,21,20,19,14,16,20,9,14,17,14
WE THE KINGS - SIX,948,127,95,65,62,44,76,28,31,17,13,12
LIKE MOTHS TO FLAMES - DARK DIVINE,777,145,111,78,51,42,58,74,32,28,22,37
URIAH HEEP - SALISBURY,87,29,19,16,23,22,14,12,15,11,9,12
JACOB WHITESIDES - WHY?,1225,158,116,59,55,32,41,25,17,25,92,63
MICHAEL MCDONALD - LIVE ON SOUNDSTAGE,88,9,5,1,2,13,23,3,4,12,12,5
MAYA JANE COLES - TAKE FLIGHT,586,213,137,72,59,46,40,54,49,31,25,22
LINDSAY ELL - THE PROJECT,93,64,77,65,102,71,68,99,48,63,66,95
DANNY GOKEY - RISE,2178,835,342,315,445,602,290,202,221,194,169,238
INDIA.ARIE - SONGVERSATION,7,9,9,17,15,14,16,14,7,5,13,10
BRYAN FERRY - AVONMORE - THE REMIX ALBUM,80,22,12,11,9,2,2,7,2,2,4,3
MARTINE MCCUTCHEON - LOST AND FOUND,743,320,120,98,25,23,10,13,8,11,9,4
CHELSEA GRIN - ETERNAL NIGHTMARE,1189,264,187,110,119,92,64,67,65,49,42,43
FIRE FROM THE GODS - NARRATIVE RETOLD,294,98,59,53,43,52,52,57,44,43,33,31
URIAH HEEP - DEMONS AND WIZARDS,129,47,29,33,32,26,25,17,23,14,21,24
DEREK SMALLS - SMALLS CHANGE (MEDITATIONS UPON AGEING),68,23,23,11,5,9,9,9,10,5,7,17
VARIOUS ARTISTS - MORE MONKEY BUSINESS,1,1,2,1,1,2,5,2,6,6,3,1
EVANESCENCE - SYNTHESIS,9537,1336,688,635,437,413,512,425,270,296,253,231
OMIK K - COñO,97,9,3,5,4,2,2,2,2,1,1,1
REJJIE SNOW - THE MOON & YOU,26,13,3,6,15,3,4,4,6,6,1,5
ADORO - IRGENDWO AUF DER WELT,178,68,60,66,73,18,13,5,3,1,23,4
THE ACACIA STRAIN - GRAVEBLOOM,1205,193,155,99,72,53,47,49,29,33,34,11
IRON MAIDEN - THE BOOK OF SOULS: LIVE CHAPTER,723,115,57,40,46,57,35,24,21,23,17,15
PALISADES - PALISADES,1333,280,157,159,193,174,166,171,169,213,228,195
"MOLOKO - ALL BACK TO THE MINE, VOL. 2: A COLLECTION OF REMIXES",6,10,6,5,1,4,2,1,8,5,4,1
VARIOUS ARTISTS - EXTEND THE 80S - POP,25,8,3,5,8,1,3,2,6,4,4,3
BERT JANSCH & JOHN RENBOURN - BERT & JOHN,2,4,2,1,2,1,2,1,1,3,1,1
MIKE + THE MECHANICS - WORD OF MOUTH,4,2,3,4,7,4,3,3,6,6,10,4
PETER DOHERTY - HAMBURG DEMONSTRATIONS,1476,390,219,190,139,103,85,62,57,62,55,55
GONE IS GONE - GONE IS GONE,809,151,78,76,50,32,48,26,28,15,15,30
ANN WILSON - IMMORTAL,574,120,73,64,31,23,17,26,23,8,12,16
CHELSEA GRIN - SELF INFLICTED,1826,422,249,214,155,144,107,89,85,94,70,63
DEREZ DE’SHON - PAIN,32,52,49,46,27,30,22,26,35,88,62,47
DIO - MAGICA,23,12,10,10,6,13,11,8,5,6,9,17
BLACK PEAKS - ALL THAT DIVIDES,358,41,21,31,25,23,14,10,11,15,14,17
CORONER - GRIN,4,10,8,9,4,5,4,5,2,5,3,3
OF MICE & MEN - DEFY,3866,917,457,375,310,265,240,173,195,170,179,166
CHELSEA GRIN - SELF INFLICTED DELUXE EDITION,72,70,61,59,33,24,16,34,50,27,34,38
VARIOUS ARTISTS - SKA ANTHEMS,1028,796,690,434,243,143,100,94,78,71,77,64
KID ROCK - SWEET SOUTHERN SUGAR,13379,3050,1800,1039,954,559,670,906,696,521,580,619
BLACK REBEL MOTORCYCLE CLUB - WRONG CREATURES,1197,282,216,158,118,104,74,47,64,37,34,26
VARIOUS ARTISTS - SKA & REGGAE CLASSICS,393,82,75,38,45,33,43,25,29,35,31,15
THE FAIM - SUMMER IS A CURSE,238,81,92,83,82,44,41,28,37,16,27,40
BLONDIE - POLLINATOR,3907,814,439,303,243,181,179,259,205,217,187,249
CARLOS RAFAEL RIVERA - GODLESS,57,24,18,16,6,12,14,16,20,10,15,16
MITCH KELLER - EINER DIESER TAGE,1,1,1,2,2,4,1,4,4,3,1,2
SHENANDOAH - RELOADED,135,36,21,7,13,10,11,7,3,3,6,4
CELTIC FROST - INTO THE PANDEMONIUM,17,17,7,10,6,5,9,10,15,10,7,8
