capture_artist_project_title,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
VARIOUS ARTISTS - ELAINE PAIGE PRESENTS SHOWSTOPPERS FROM THE MUSICALS,205,208,32,19,22,9,4,5,7,9,12,10
JASON DONOVAN - THE BEST OF JASON DONOVAN,13,49,50,68,23,39,26,47,24,12,23,20
VARIOUS ARTISTS - THIS IS TROJAN BOSS REGGAE,19,34,26,23,43,34,22,26,22,11,14,20
DANIEL PEMBERTON - GOLD: THE ORIGINAL SCORE SOUNDTRACK,18,31,10,17,24,5,3,11,6,6,4,1
CELTIC FROST - INTO THE PANDEMONIUM,30,53,41,30,57,31,29,27,23,24,27,20
A LOSS FOR WORDS - CRISES,208,150,25,18,6,3,5,3,3,3,2,2
JOHN FOGERTY - PREMONITION,8,27,50,38,67,46,52,50,49,33,31,27
KONTRA K - ERDE & KNOCHEN,10454,2522,1294,790,479,324,265,431,307,243,255,199
RAINHARD FENDRICH - SCHWARZODERWEISS,1862,392,382,242,372,139,173,88,74,77,155,67
PRETENDERS - ALONE,1770,765,389,188,238,123,139,48,47,49,36,48
AMERICAN NIGHTMARE - AMERICAN NIGHTMARE,371,73,17,14,11,4,3,3,3,1,5,4
JAKE CLEMONS - FEAR & LOVE,351,94,23,19,22,13,23,7,26,21,6,6
MIKE + THE MECHANICS - MIKE + THE MECHANICS (M6),2,7,16,19,8,12,11,8,3,1,3,5
ACCEPTANCE - COLLIDING BY DESIGN,1920,632,148,99,51,72,55,29,32,28,45,36
LESLIE ODOM JR. - SIMPLY CHRISTMAS,567,3017,5237,63,31,45,64,33,16,19,30,46
ATTACK ATTACK! - ATTACK ATTACK! DELUXE REISSUE,26,14,26,18,10,15,14,22,14,14,13,9
BAPTISTE W. HAMON - L’INSOUCIANCE,2,1,20,6,5,1,2,1,2,1,2,1
OF MICE & MEN - COLD WORLD,10814,1281,608,648,407,253,209,268,207,222,198,147
"EMERSON, LAKE & PALMER - EMERSON, LAKE & PALMER",59,57,56,65,109,578,172,155,146,160,154,125
KEN HENSLEY - PROUD WORDS ON A DUSTY SHELF,5,17,9,9,13,16,10,6,15,10,9,9
GOLD - A L'OLYMPIA,9,15,13,2,7,9,10,2,5,2,10,2
"DEATH SPELLS - NOTHING ABOVE, NOTHING BELOW",562,192,98,31,36,42,16,19,8,14,17,9
MARTINE MCCUTCHEON - LOST AND FOUND,1200,162,38,87,22,12,20,8,10,17,4,4
KREATOR - COMA OF SOULS,74,58,19,33,22,26,22,27,25,22,40,23
CHRIS ISAAK - CHRIS ISAAK CHRISTMAS LIVE ON SOUNDSTAGE,80,234,15,5,6,3,2,2,2,7,6,8
BRIAN WILSON - BRIAN WILSON AND FRIENDS,33,206,94,49,28,26,38,22,23,31,20,17
LEELA JAMES - DID IT FOR LOVE,1802,2480,795,491,420,247,224,201,215,125,98,171
THE GLORIOUS SONS - YOUNG BEAUTIES AND FOOLS,5,98,94,104,108,109,96,122,73,64,113,166
YOU ME AT SIX - NIGHT PEOPLE,1897,134,144,96,129,47,32,31,37,20,17,24
VARIOUS ARTISTS - FOLK GUITAR,4,5,2,1,2,4,1,5,4,2,2,2
CHELSEA GRIN - SELF INFLICTED DELUXE EDITION,273,125,154,108,69,49,65,64,40,51,69,59
BAD SUNS - DISAPPEAR HERE,3654,701,350,463,263,220,244,216,213,190,141,139
KNUCKLE PUCK - SHAPESHIFTER,2262,279,205,181,110,139,80,92,103,107,82,53
THE KINKS - SOMETHING ELSE BY THE KINKS,199,84,21,20,17,21,9,17,22,21,19,13
BALANCE AND COMPOSURE - LIGHT WE MADE,1341,168,122,80,39,50,49,47,20,22,35,13
TYLER CARTER - LEAVE YOUR LOVE,5,30,16,15,20,14,15,22,18,17,16,14
SILVERSTEIN - DEAD REFLECTION,3366,532,279,240,170,161,207,154,153,110,94,79
OMIK K - COñO,116,10,6,4,5,3,3,1,1,2,1,1
DAVE CLARKE - THE DESECRATION OF DESIRE,168,77,31,10,7,8,7,5,4,7,2,5
DANNY GOKEY - RISE,4605,1698,884,1226,663,571,532,533,435,406,290,185
VARIOUS ARTISTS - SKA ANTHEMS,943,2273,435,299,218,188,138,152,178,148,143,170
URIAH HEEP - DEMONS AND WIZARDS,122,166,101,90,90,74,75,70,64,70,77,69
CHUCK LEAVELL - CHUCK GETS BIG (WITH THE FRANKFURT RADIO BIG BAND),12,14,8,10,5,6,11,7,12,6,4,1
"VARIOUS ARTISTS - THE DR. PACKER SALSOUL REWORKS, VOL. 1",290,92,57,47,32,26,18,14,31,20,17,17
MIKE + THE MECHANICS - BEGGAR ON A BEACH OF GOLD,9,29,35,42,24,23,27,21,20,22,16,16
MY INDIGO - MY INDIGO,1781,338,109,117,85,90,52,61,70,63,85,53
DAVID CROSBY - SKY TRAILS,809,942,336,170,127,82,119,83,102,80,38,66
SCARFACE - DEEPLY ROOTED: THE LOST FILES,2740,417,145,105,63,45,34,38,24,34,24,21
AUSTIN MAHONE - THIS IS NOT THE ALBUM,384,275,310,163,97,149,165,102,78,21,15,16
AUSTIN MAHONE - FORME+YOU,2118,1571,390,259,143,112,136,49,27,32,21,22
GRYPHON - RED QUEEN TO GRYPHON THREE,9,9,17,12,12,10,8,13,7,9,10,2
HOLLYWOOD UNDEAD - FIVE,16734,6250,2705,1638,1131,955,755,588,1005,499,413,382
ERASURE - SINGLES - EBX3,65,33,34,24,8,16,11,12,8,7,4,8
CABBAGE - NIHILISTIC GLAMOUR SHOTS,160,195,30,16,4,8,3,4,6,9,7,2
GOLD - CALICOBA,18,18,10,13,14,15,21,8,14,13,12,7
SEVEN - 4COLORS,310,66,58,44,116,33,15,3,16,2,12,5
TONY BANKS - FIVE,67,26,12,10,5,6,4,5,2,4,1,2
HOT WATER MUSIC - FOREVER AND COUNTING - EXPANDED EDITION,15,21,17,14,27,17,19,14,24,13,17,12
NICK CAVE & THE BAD SEEDS - LOVELY CREATURES - THE BEST OF NICK CAVE AND THE BAD SEEDS (1984-2014),1984,515,245,192,321,473,360,456,486,289,262,305
THE KINKS - FACE TO FACE,136,58,13,12,9,9,7,11,9,20,11,11
GONE IS GONE - ECHOLOCATION,1043,138,68,38,35,40,17,34,16,17,12,25
GRANDMASTER FLASH - GRANDMASTER FLASH PRESENTS: SALSOUL JAM 2000,34,41,29,23,29,25,31,12,16,24,12,18
BRUCE DICKINSON - SCREAM FOR ME SARAJEVO,159,147,37,16,13,6,12,7,8,7,9,2
SULLY ERNA - HOMETOWN LIFE,1876,1245,331,172,122,95,73,109,58,121,220,68
BLINK-182 - CALIFORNIA,82485,16160,15664,11893,4604,4897,4282,3274,2251,1439,940,659
RSO - RISE,1290,733,215,284,143,134,58,66,58,27,30,24
"EMERSON, LAKE & PALMER - WORKS VOLUME 1",206,58,30,20,10,11,9,42,15,11,42,6
JOHN FOGERTY - BLUE MOON SWAMP,54,122,96,96,127,101,95,109,104,106,59,69
THE MOVIELIFE - CITIES IN SEARCH OF A HEART,362,51,24,21,20,12,7,9,27,18,8,1
MARCIA GRIFFITHS - NATURALLY / STEPPIN',11,6,0,4,1,5,5,3,2,3,3,4
VARIOUS ARTISTS - THE TREASURE ISLE STORY,12,13,7,10,11,12,3,4,8,13,4,3
TEXAS - JUMP ON BOARD,3763,1341,451,458,280,334,206,118,118,64,46,41
